"code";"description"
"CCT0274";"Contrato con Reducci�n de Cuotas incompatible con anexo de Relevo. No se acepta la comunicaci�n.                                                                                                "
"CCT0275";"Contrato con Reducci�n de Cuotas incompatible con contrataciones en origen. No se acepta la comunicaci�n.                                                                                       "
"CCT0276";"El colectivo de reducci�n de cuotas no es correcto. No se acepta la comunicaci�n.                                                                                                               "
"CCT0277";"El porcentaje de reducci�n de cuotas no es correcto. No se acepta la comunicaci�n.                                                                                                              "
"CCT0278";"El colectivo de Formaci�n no es v�lido para la legislaci�n seleccionada                                                                                                                         "
"CCT0279";"Longitud err�nea del dato Centro de Formaci�n                                                                                                                                                   "
"CCT0280";"Longitud err�nea del dato Domicilio del Centro de Formaci�n                                                                                                                                     "
"CCT0281";"El Municipio del Centro de Formaci�n no se encuentra en tablas                                                                                                                                  "
"CCT0282";"La Modalidad de Formaci�n no se encuentra en tablas                                                                                                                                             "
"CCT0283";"La Actividad Formativa no se encuentra en tablas                                                                                                                                                "
"CCT0284";"El indicador de titulaci�n ESO no es v�lido                                                                                                                                                     "
"CCT0285";"Error durante el alta del Anexo del contrato de Formaci�n y Aprendizaje                                                                                                                         "
"CCT0286";"El colectivo de Formaci�n debe ser el de Escuelas Taller / Casa de Oficio / Taller de Empleo                                                                                                    "
"CCT0287";"El contrato no admite datos del Anexo para la Formaci�n y el Aprendizaje                                                                                                                        "
"CCT0288";"Valor incorrecto del contrato acogido al RDL 10/2011                                                                                                                                            "
"CCT0289";"Incompatible acogerse simult�neamente al RDL 10/2011 por ET/CO/TE y Proyectos CCAA                                                                                                              "
"CCT0290";"El contrato no puede acogerse al RDL 10/2011                                                                                                                                                    "
"CCT0291";"La consulta por UAG s�lo se puede obtener desde el 11 de noviembre de 2011                                                                                                                      "
"CCT0292";"Contrato de investigaci�n incompatible con Mayores de 52 a�os                                                                                                                                   "
"CCT0293";"Contrato de acceso al Sistema Espa�ol de Ciencia,Tecnolog�a e Innovaci�n no se admite para el tipo de contrato                                                                                  "
"CCT0294";"Apoyo a Emprendedores no permitido para este contrato                                                                                                                                           "
"CCT0295";"Valor incorrecto del Colectivo de Deducci�n Fiscal                                                                                                                                              "
"CCT0296";"Valores de Deducci�n Fiscal incompatibles                                                                                                                                                       "
"CCT0297";"Apoyo a Emprendedores no permitido a fecha de inicio del contrato                                                                                                                               "
"CCT0298";"Reducci�n de Cuotas incompatible con Bonificaci�n                                                                                                                                               "
"CCT0299";"Colectivo de Reducci�n de cuotas incompatible con el sexo del trabajador                                                                                                                        "
"CCT0300";"Indicador de Centro Disponible obligatorio para el Anexo de Formaci�n                                                                                                                           "
"CCT0301";"Indicador de Tipo de Centro obligatorio                                                                                                                                                         "
"CCT0302";"Indicador de Tipo de Centro no v�lido                                                                                                                                                           "
"CCT0303";"Cuando no hay Centro Acreditado no se debe indicar el Tipo de Centro                                                                                                                            "
"CCT0304";"N�mero de Centro obligatorio                                                                                                                                                                    "
"CCT0305";"N�mero de Centro no v�lido                                                                                                                                                                      "
"CCT0306";"El per�odo de fechas m�ximo para el �mbito seleccionado es de un mes                                                                                                                            "
"CCT0307";"El per�odo de fechas m�ximo para el �mbito seleccionado es de 15 d�as                                                                                                                           "
"CCT0308";"El per�odo de fechas m�ximo para el �mbito seleccionado es de 7 d�as                                                                                                                            "
"CCT0309";"Contrato predoctoral solo v�lido para Contratos de Obra a Tiempo Completo a partir del 02-06-2012. No se acepta la comunicaci�n                                                                 "
"CCT0310";"Contrato predoctoral incompatible con contrato de Acceso al Sistema Espa�ol de Ciencia. No se acepta la comunicaci�n                                                                            "
"CCT0311";"La codificaci�n de la Ocupaci�n (CNO) cambi� el 01-01-2011. La consulta que se est� efectuando debe hacerse en dos partes; una hasta el a�o 2010 inclusive y otra a partir del a�o 2011         "
"CCT0312";"Esta transformaci�n s�lo se puede iniciar al t�rmino del contrato o pr�rroga                                                                                                                    "
"CCT0313";"El colectivo de bonificaci�n seleccionado para la transformaci�n no se corresponde con el del contrato origen                                                                                   "
"CCT0314";"C�digo de colectivo de formaci�n no v�lido                                                                                                                                                      "
"CCT0315";"La opci�n -Mayores de 52 a�os- no es v�lida para contratos temporales desde el 01-08-2012                                                                                                       "
"CCT0316";"Fecha Desde no puede ser anterior al 1 de mayo de 1997                                                                                                                                          "
"CCT0317";"Contrato con fecha de inicio posterior al 1-1-2013, debe confirmar que el trabajador pertenece a alguno de los colectivos contemplados en el apart.2 de la Dsp.final duod�cima de la Ley 27/2011"
"CCT0318";"Indicador de Formaci�n Complementaria obligatorio                                                                                                                                               "
"CCT0319";"Indicador de Formaci�n Complementaria no v�lido                                                                                                                                                 "
"CCT0321";"Vinculaci�n Formativa incorrecta                                                                                                                                                                "
"CCT0322";"Obligatorio seleccionar alguna medida de la Ley 11/2013                                                                                                                                         "
"CCT0323";"El contrato no puede acogerse a la Ley 11/2013                                                                                                                                                  "
"CCT0324";"No es compatible Reducci�n de Cuotas con el Primer Empleo Joven                                                                                                                                 "
"CCT0325";"Contrato de Vinculaci�n Formativa no v�lido para el tipo de contrato                                                                                                                            "
"CCT0326";"Obligatorios los datos de Vinculaci�n Formativa y Porcentajes para el contrato de Vinculaci�n Formativa                                                                                         "
"CCT0327";"Colectivo de reducci�n no compatible con datos de Vinculaci�n Formativa                                                                                                                         "
"CCT0328";"Contrato de Aut�nomos o Microempresas no v�lido para el tipo de contrato                                                                                                                        "
"CCT0329";"Contrato de Aut�nomos con mayores de 45 a�os no v�lido para el tipo de contrato                                                                                                                 "
"CCT0330";"Colectivos de incentivos a contratos en pr�cticas no v�lido para el tipo de contrato                                                                                                            "
"CCT0331";"Contrato para incentivar la primera experiencia profesional (Empleo Joven) no v�lido para el tipo de contrato                                                                                   "
"CCT0332";"El porcentaje de jornada s�lo debe cumplimentarse en el contrato de Vinculaci�n Formativa o en el de Primer Empleo Joven                                                                        "
"CCT0333";"Porcentaje de jornada obligatorio para el contrato de Primer Empleo Joven                                                                                                                       "
"CCT0334";"Para acogerse a la bonificaci�n de Excluidos Sociales menores de 30 a�os (Ley 11/2013) el colectivo debe ser de Excluido Social y la empresa de Inserci�n                                       "
"CCT0335";"Solo se puede seleccionar Discapacitado cuando la edad est� entre 30 y 35 a�os en contratos acogidos a la Ley 11/2013                                                                           "
"CCT0336";"No se puede anular el contrato por tener pacto de Horas Complementarias                                                                                                                         "
"CCT0337";"Apoyo a Emprendedores para contratos a Tiempo Parcial no permitido a fecha de inicio del contrato                                                                                               "
"CCT0338";"El fichero seleccionado no tiene formato pdf                                                                                                                                                    "
"CCT0339";"Es obligatorio cumplimentar el C�digo de Contrato en el pdf                                                                                                                                     "
"CCT0340";"Contrato de Tarifa Plana incompatible con Discapacitado en CEE. No se acepta la comunicaci�n.                                                                                                   "
"CCT0341";"Contrato de Tarifa Plana incompatible con Anexo de Relevo. No se acepta la comunicaci�n.                                                                                                        "
"CCT0342";"Contrato de Tarifa Plana incompatible con contrataciones en origen. No se acepta la comunicaci�n.                                                                                               "
"CCT0343";"Contrato de Tarifa Plana incompatible con Bonificaci�n. No se acepta la comunicaci�n.                                                                                                           "
"CCT0344";"Contrato de Tarifa Plana incompatible con Ley 11/2013. No se acepta la comunicaci�n.                                                                                                            "
"CCT0345";"El contrato ya est� iniciado. No se permite el alta en la Tesorer�a General de la Seguridad Social.                                                                                             "
"CCT0346";"El identificador del trabajador no es NIF � NIE. No se permite el alta en la Tesorer�a General de la Seguridad Social.                                                                          "
"CCT0347";"No se ha podido efectuar la llamada a la TGSS para comunicar los datos                                                                                                                          "
"CCT0348";"S�lo se puede seleccionar Discapacitado cuando la edad est� entre 25 y 30 a�os                                                                                                                  "
"CCT0349";"S�lo se puede seleccionar RDL 3/2014 si el contrato es de Garant�a Juvenil                                                                                                                      "
"CCT0350";"Fecha de inicio del contrato no v�lida para el contrato del Plan Nacional de Garant�a Juvenil 												   "
"CCT0351";"Debe indicar si el trabajador ha tenido anteriomente contratos de Formaci�n por un periodo superior a un a�o. 										   "
"CCT0352";"Los contratos a Tiempo Parcial deben presentarse por escrito. No se acepta la comunicaci�n													   "
"CCT0353";"Programa de Activaci�n para el Empleo no v�lido para el Tipo de Contrato. No se acepta la comunicaci�n. 											   "
"CCT0354";"Programa de Activaci�n para el Empleo v�lido para contratos iniciados a partir del 15-01-2015. No se acepta la comunicaci�n.									   "
"CCT0355";"El colectivo de reducci�n de cuotas no es v�lido para la fecha de inicio del contrato 													   "
"CCT1001";"Trabajador menor de 16 a�os. No se acepta la comunicaci�n                                                                                                                                       "
"CCT1002";"Edad del trabajador no v�lida para el tipo de contrato.                                                                                                                                         "
"CCT1003";"Duraci�n err�nea para el tipo de contrato.                                                                                                                                                      "
"CCT1004";"Falta Fecha de Inicio para contrato de Obra o Servicio con Fecha de T�rmito.                                                                                                                    "
"CCT1008";"Sexo erroneo para el tipo de contrato.                                                                                                                                                          "
"CCT1010";"Falta la titulaci�n acad�mica para este tipo de contrato.                                                                                                                                       "
"CCT1011";"Faltan horas de formaci�n para este tipo de contrato.                                                                                                                                           "
"CCT1014";"Fecha de registro superior en 10 d�as a fecha de inicio.                                                                                                                                        "
"CCT1015";"Nivel Acad�mico no v�lido para este tipo de contrato.                                                                                                                                           "
"CCT1019";"Horas de formaci�n err�neas para este tipo de contrato.                                                                                                                                         "
"CCT1020";"Edad o sexo incorrecto para contrato convertido en indefinido.                                                                                                                                  "
"CCT1021";"Contrato eventual sin fecha de t�rmino.                                                                                                                                                         "
"CCT1023";"Ocupaci�n incorrecta para este c�digo de contrato.                                                                                                                                              "
"CCT1026";"Las horas de jornada son mayor o igual al 77 % de las horas de convenio.                                                                                                                        "
"CCT1027";"Las horas de jornada son menores del 23 % de las horas de convenio.                                                                                                                             "
"CCT1028";"Contrato Fijo Discontinuo sin horas de convenio.                                                                                                                                                "
"CCT1029";"Edad incorrecta para la Ley de Fomento de la Contrataci�n Indefinida.                                                                                                                           "
"CCT1030";"Contrato de formaci�n sin horas de formaci�n ni certificaci�n.                                                                                                                                  "
"CCT1031";"C�digo de contrato incorrecto para ETT.                                                                                                                                                         "
"CCT1032";"Las horas de jornada son mayor o igual al 70 % de las horas de convenio.                                                                                                                        "
"CCT1033";"Las horas de jornada son menores del 30 % de las horas de convenio.                                                                                                                             "
"CCT1036";"Colectivo incompatible con la Ley de Fomento de la Contrataci�n Indefinida.                                                                                                                     "
"CCT1041";"Porcentaje de jubilacion inferior al 25%.                                                                                                                                                       "
"CCT1042";"Porcentaje de jubilacion superior al 85%.                                                                                                                                                       "
"CCT1043";"El contrato est� finalizado a la fecha de comunicaci�n                                                                                                                                          "
"CCT1044";"Porcentaje de jornada inferior al 50% o superior al 75%                                                                                                                                         "
"CCT1045";"Porcentaje de trabajo efectivo superior al 75%                                                                                                                                                  "
"CCT1046";"Porcentaje de jornada superior al 50 %                                                                                                                                                          "
"CCT1047";"Porcentaje de jornada inferior al 75 %                                                                                                                                                          "
"CCT3001";"Los datos de la P. F�sica en la base de datos no coinciden con los tecleados. Compru�belos.                                                                                                     "
"CCT3002";"El nombre de la Persona F�sica es desconocido para el Servicio P�blico de Empleo. Compru�belo.                                                                                                  "
"CCT3003";"El primer apellido de la Persona F�sica es desconocido para el Servicio P�blico de Empleo. Compru�belo.                                                                                         "
"CCT3004";"El segundo apellido de la Persona F�sica es desconocido para el Servicio P�blico de Empleo. Compru�belo.                                                                                        "
"CCT3005";"Verifique que el nombre de la Persona F�sica est� correctamente introducido.                                                                                                                    "
"CCT4001";"La empresa no es una ETT. No se admiten los datos de la Empresa Usuaria. No se acepta la comunicaci�n.                                                                                          "
"CCT4002";"El N�mero de Oferta no existe en la base de datos. No se acepta la comunicaci�n.                                                                                                                "
"CCT4003";"Existe un contrato en la base de datos con los datos iguales al que se intenta comunicar. No se acepta la comunicaci�n.                                                                         "
"CCT4004";"Error al obtener la provincia que mecaniza el contrato. No se acepta la comunicaci�n.                                                                                                           "
"CCT4005";"Error cumplimentaci�n de mapa auton�mico de P. F�sica. No se acepta la comunicaci�n.                                                                                                            "
"CCT4006";"Error cumplimentaci�n de mapa auton�mico de Empleador. No se acepta la comunicaci�n.                                                                                                            "
"CCT4007";"Error en relaci�n cto. / exp. empleo p�blico (ya existe). No se acepta la comunicaci�n.                                                                                                         "
"CCT4008";"Error en relaci�n cto. / exp. empleo p�blico (P.F. No existe). No se acepta la comunicaci�n.                                                                                                    "
"CCT4009";"Error en relaci�n cto. / exp. empleo p�blico (c�culo edad). No se acepta la comunicaci�n.                                                                                                       "
"CCT4010";"Error en par�metros de llamada a la consulta.                                                                                                                                                   "
"CCT4011";"No se encontraron datos para la consulta solicitada.                                                                                                                                            "
"CCT4012";"Se encontraron m�s de 100 comunicaciones para la consulta solicitada. Acote la b�squeda.                                                                                                        "
"CCT4013";"Inconsistencia en el acceso Comunicaci�n/Datos de Impresi�n.                                                                                                                                    "
"CCT4014";"Inconsistencia en el acceso Comunicaci�n/Datos del Expediente.                                                                                                                                  "
"CCT4015";"La comunicaci�n solicitada pertenece a otro usuario.                                                                                                                                            "
"CCT4016";"Error en acceso a Persona F�sica (identificador A12).                                                                                                                                           "
"CCT4017";"Se ha producido un error en la solicitud de reenv�o.                                                                                                                                            "
"CCT4018";"Se ha producido un error en la solicitud de reenv�o.                                                                                                                                            "
"CCT4019";"El reenv�o solicitado no est� en cat�logo.                                                                                                                                                      "
"CCT4020";"Ha excedido el plazo de 10 d�as para confirmar/recuperar esta comunicaci�n                                                                                                                      "
"CCT4021";"La comunicaci�n provisional solicitada ya est� de baja                                                                                                                                          "
"CCT4022";"La comunicaci�n provisional solicitada ya est� confirmada                                                                                                                                       "
"CCT4023";"Contrato de Escuela Taller incompatible con discapacitado en CEE. No se acepta la comunicaci�n                                                                                                  "
"CCT4024";"Contrato de Escuela Taller incompatible con investigaci�n. No se acepta la comunicaci�n.                                                                                                        "
"CCT4025";"Contrato de Escuela Taller incompatible con Programa de Empleo. No se acepta la comunicaci�n.                                                                                                   "
"CCT4026";"Contrato de Escuela Taller incompatible con E.T.T. No se acepta la comunicaci�n.                                                                                                                "
"CCT4027";"Contrato de discapacitado en CEE incompatible con investigaci�n. No se acepta la comunicaci�n.                                                                                                  "
"CCT4028";"Contrato de discapacitado en CEE incompatible con Programa de Empleo. No se acepta la comunicaci�n.                                                                                             "
"CCT4029";"Contrato de discapacitado en CEE incompatible con E.T.T. No se acepta la comunicaci�n.                                                                                                          "
"CCT4030";"Contrato de Programa de Empleo incompatible con E.T.T. No se acepta la comunicaci�n.                                                                                                            "
"CCT4031";"Contrato de investigaci�n incompatible con Programa de Empleo. No se acepta la comunicaci�n.                                                                                                    "
"CCT4032";"El contrato no pertenece a este trabajador. No se acepta la Copia B�sica                                                                                                                        "
"CCT4033";"El contrato no est� accesible en este momento(W).No se acepta la Copia B�sica                                                                                                                   "
"CCT4034";"El contrato no est� accesible en este momento(C). No se acepta la Copia B�sica                                                                                                                  "
"CCT4035";"Ya se ha comunicado la copia b�sica de este contrato. No se acepta la Copia B�sica                                                                                                              "
"CCT4061";"El identificador de Persona F�sica tiene duplicados en la base de datos. No se acepta la comunicaci�n.                                                                                          "
"CCT4062";"Tipo de documento no permitido en alta de P.F�sica para Contrataci�n por Internet. No se acepta la comunicaci�n.                                                                                "
"CCT4063";"Se encontraron m�s de 50 comunicaciones para la consulta solicitada. Acote la b�squeda.                                                                                                         "
"CCT4064";"No se ha efectuado ninguna modificaci�n a la empresa en el per�odo solicitado                                                                                                                   "
"CCT4065";"Se encontraron m�s de  80 modificaciones en el per�odo solicitado. Acote la b�squeda                                                                                                            "
"CCT4066";"Los datos de la P. F�sica en la base de datos no coinciden con los tecleados. Dir�jase al Servicio P�blico de Empleo                                                                            "
"CCT4067";"El empleador no tiene Actividad Econ�mica, dir�jase a la Tesorer�a General de la Seguridad Social para corregirla. No se acepta la comunicaci�n.                                                "
"CCT4068";"El n�mero de documento del trabajador tiene duplicados. �ste debe dirigirse al Servicio P�blico de Empleo. No se acepta la comunicaci�n.                                                        "
"CCT4069";"Existe m�s de un contrato para los datos especificados. Debe indicar el identificador del contrato                                                                                              "
"CCT4070";"Debe rellenar el criterio de b�squeda del contrato inicial (Identificador del contrato � Empresa+Trabajador+Fecha de Inicio)                                                                    "
"CCT4071";"S�lo debe rellenar un criterio de b�squeda del contrato inicial (Identificador del contrato � Empresa+Trabajador+Fecha de Inicio)                                                               "
"CCT4072";"El contrato especificado no existe. No se aceptan los trabajadores de grupo.                                                                                                                    "
"CCT4073";"El contrato especificado no pertenece al trabajador que act�a de representante. No se aceptan los trabajadores del grupo.                                                                       "
"CCT4074";"El contrato especificado no es del tipo  Otros Contratos  (c�digo 990). No se aceptan los trabajadores del grupo.                                                                               "
"CCT4075";"No se acepta el trabajador por estar asignado previamente a este contrato de grupo.                                                                                                             "
"CCT4076";"Los trabajadores no se han asignado al contrato de grupo debido a errores detectados.                                                                                                           "
"CCT4077";"No se acepta el trabajador porque el contrato de grupo ya tiene asignados el m�ximo de trabajadores (80).                                                                                       "
"CCT4078";"El contrato no tiene trabajadores de grupo                                                                                                                                                      "
"CCT4079";"Error al dar de alta la comunicaci�n, por favor comun�quelo en el buz�n de incidencias. No se acepta la comunicaci�n.                                                                           "
"CCT4080";"Este contrato no admite correcciones.                                                                                                                                                           "
"CCT4081";"No se admiten correcciones referentes a datos de Empresas de Trabajo Temporal                                                                                                                   "
"CCT4082";"Este contrato no admite correcciones por estar transformado a indefinido                                                                                                                        "
"CCT4083";"Este contrato no admite correcciones por tener un comunicado de acuerdo                                                                                                                         "
"CCT4084";"El contrato solicitado no existe.                                                                                                                                                               "
"CCT4085";"Se encontraron m�s de 70 correcciones en el per�odo solicitado.                                                                                                                                 "
"CCT4086";"No se ha efectuado ninguna correcci�n al contrato en el per�odo solicitado                                                                                                                      "
"CCT4087";"La empresa no existe en la B.D. del SPEE                                                                                                                                                        "
"CCT4088";"La empresa no tiene comunicaciones a trav�s de Contrat@ en el periodo especificado                                                                                                              "
"CCT4089";"No se ha efectuado ninguna correcci�n al contrato                                                                                                                                               "
"CCT4090";"El contrato no puede corregirse transcurridos 30 d�as naturales desde su inicio. Pasado este plazo solo se permite corregir los datos del trabajador desde `Correcci�n de datos del trabajador` "
"CCT4091";"El contrato fue comunicado en el Servicio P�blico de Empleo.  Puede incluirlo en Contrat@ desde la opci�n de men� `Incluir contrato de Oficina de Empleo`                                       "
"CCT4092";"El contrato fue comunicado en el Servicio P�blico de Empleo. Para poder incluirlo en Contrat@, el trabajador debe acudir al SPE porque su n�mero de documento tiene duplicados.                 "
"CCT4093";"El contrato no se registr� en el Servicio P�blico de Empleo                                                                                                                                     "
"CCT4094";"El contrato ya est� incluido en Contrat@                                                                                                                                                        "
"CCT4095";"El contrato no pertenece a este trabajador. No se acepta la comunicaci�n                                                                                                                        "
"CCT4096";"No existen datos para el Identificador de Persona F�sica solicitado, debe darlo de alta a trav�s de Entidades Comunes.                                                                          "
"CCT4097";"El contrato tiene pr�rrogas. No se puede efectuar esta correcci�n.                                                                                                                              "
"CCT4098";"Se encontraron m�s de 500 comunicaciones para la consulta solicitada. Acote la b�squeda.                                                                                                        "
"CCT4099";"Contrato de Escuela Taller, Casa de Oficio o Taller de Empleo no admite bonificaci�n                                                                                                            "
"CCT4100";"Trabajador con m�s de 300 contratos. No se permite la consulta en l�nea                                                                                                                         "
"CCT4101";"Superado el tiempo l�mite de proceso. No se permite la consulta en l�nea                                                                                                                        "
"CCT4102";"Perfil sin acceso a datos confidenciales                                                                                                                                                        "
"CCT4103";"Error. Esta operaci�n debe realizarse en la Oficina de Empleo                                                                                                                                   "
"CCT4104";"Empresa con m�s de 272 contratos para los par�metros solicitados. No se permite la consulta en l�nea                                                                                            "
"CCT4105";"El usuario no est� autorizado para realizar esta operaci�n                                                                                                                                      "
"CCT4106";"El contrato no admite indicador de Regularizaci�n conforme al Real Decreto-ley 5/2011                                                                                                           "
"CCT4107";"Indicador de Regularizaci�n conforme al Real Decreto-ley 5/2011 err�neo                                                                                                                         "
"CCT4108";"Existe un contrato para la misma empresa, el mismo trabajador y con la misma fecha de inicio. Debe CONFIRMAR que desea comunicar este segundo contrato.                                         "
"CCT4109";"El contrato no pertenece a su Comunidad Aut�noma. No se permite la anulaci�n.                                                                                                                   "
"CCT4110";"El contrato tiene un Comunicado de Acuerdo. No se permite la anulaci�n.                                                                                                                         "
"CCT4111";"El contrato no admite correcciones ni anulaci�n.                                                                                                                                                "
"CCT4112";"No existe ninguna oferta para el empleador                                                                                                                                                      "
"CCT4113";"Contrato procedente de la Tesorer�a General de la Seguridad Social. No se admiten modificaciones, pr�rrogas ni conversi�n en indefinido                                                         "
"CCT4114";"Se encontraron m�s de 210 contratos para la b�squeda solicitada. Acote la b�squeda.                                                                                                             "
"CCT4115";"Contrato de la Ley 11/2013 incompatible con discapacitados en CEE                                                                                                                               "
"CCT4116";"Contrato de la Ley 11/2013 incompatible con Programas de Empleo                                                                                                                                 "
"CCT4117";"Contrato de la Ley 11/2013 incompatible con Escuelas Taller                                                                                                                                     "
"CCT4118";"Contrato de la Ley 11/2013 incompatible con Emprendedores                                                                                                                                       "
"CCT4119";"La fecha de t�rmino real s�lo puede introducirse para los contratos formativos                                                                                                                  "
"CCT4120";"Programa de Activaci�n para el Empleo incompatible con Programas de Empleo. No se acepta la comunicaci�n.                                                                                       "
"CCT4121";"Programa de Activaci�n para el Empleo incompatible con Enclaves Laborales. No se acepta la comunicaci�n.                                                                                        "
"CCT4122";"Programa de Activaci�n para el Empleo incompatible con Mayores de 52 a�os beneficiarios de subsidios. No se acepta la comunicaci�n.                                                             "
"CCT4123";"Programa de Activaci�n para el Empleo incompatible con bonificaci�n o reducci�n por ser procedente de un contrato de ETT. No se acepta la comunicaci�n.                                         "
"cct4124";"Programa de Activaci�n para el Empleo incompatible con bonificaci�n por Relaciones Laborales Especiales. No se acepta la comunicaci�n.                                                          "
"CCT5005";"Trabajador no inscrito en la Oficina de Empleo.                                                                                                                                                 "
"CCT5006";"Trabajador inscrito en la O. E. con posterioridad a la Fecha de Inicio del Contrato.                                                                                                            "
"CCT5007";"Trabajador inscrito en la Oficina de Empleo con edad erronea.                                                                                                                                   "
"CCT5009";"Antig�edad en la Oficina de Empleo inferior a un a�o.                                                                                                                                           "
"CCT5017";"N�mero de trabajadores del empleador err�neo.                                                                                                                                                   "
